20190503 09:39:43 T-Rex NVIDIA GPU miner v0.9.2  -  [CUDA v10.0]
20190503 09:39:43 
20190503 09:39:43 NVIDIA Driver v430.39
20190503 09:39:43 CUDA devices available: 2
20190503 09:39:43 
20190503 09:39:44 WARN: GPU #1: EVGA GeForce GTX 970, intensity set to 20
20190503 09:39:44 Total: 0.00 H/s
20190503 09:39:45 Total: 0.00 H/s
20190503 09:39:46 Total: 24.60 MH/s
20190503 09:39:46 Total: 24.60 MH/s
20190503 09:39:47 Total: 24.67 MH/s
20190503 09:39:47 Total: 24.69 MH/s
20190503 09:39:47 Total: 24.69 MH/s
20190503 09:39:47 Total: 24.69 MH/s
20190503 09:39:49 Total: 24.73 MH/s
20190503 09:39:50 Total: 24.75 MH/s
20190503 09:39:50 Total: 24.75 MH/s
20190503 09:39:50 Total: 24.75 MH/s
20190503 09:39:51 Total: 24.76 MH/s
20190503 09:39:51 Total: 24.76 MH/s
20190503 09:39:51 Total: 24.76 MH/s
20190503 09:39:52 Total: 24.76 MH/s
20190503 09:39:53 Total: 24.77 MH/s
20190503 09:39:53 Total: 24.76 MH/s
20190503 09:39:55 Total: 24.75 MH/s
20190503 09:39:57 Total: 24.75 MH/s
20190503 09:39:57 Total: 24.75 MH/s
20190503 09:39:58 Total: 24.75 MH/s
20190503 09:39:58 Total: 24.74 MH/s
20190503 09:39:58 Total: 24.74 MH/s
20190503 09:39:59 Total: 24.74 MH/s
20190503 09:39:59 Total: 24.74 MH/s
20190503 09:40:00 Total: 24.73 MH/s
20190503 09:40:02 Total: 24.72 MH/s
20190503 09:40:03 Total: 24.71 MH/s
20190503 09:40:03 Total: 24.71 MH/s
20190503 09:40:04 Total: 24.70 MH/s
20190503 09:40:04 Total: 24.70 MH/s
20190503 09:40:06 Total: 24.68 MH/s
20190503 09:40:06 Total: 24.68 MH/s
20190503 09:40:08 Total: 24.66 MH/s
20190503 09:40:09 Total: 24.65 MH/s
20190503 09:40:09 Total: 24.65 MH/s
20190503 09:40:10 Total: 24.65 MH/s
20190503 09:40:10 Total: 24.64 MH/s
20190503 09:40:11 Total: 24.64 MH/s
20190503 09:40:14 Total: 24.62 MH/s
20190503 09:40:14 Total: 24.62 MH/s
20190503 09:40:14 Total: 24.62 MH/s
20190503 09:40:15 Total: 24.61 MH/s
20190503 09:40:15 Total: 24.61 MH/s
20190503 09:40:15 Total: 24.61 MH/s
20190503 09:40:15 Total: 24.61 MH/s
20190503 09:40:18 Total: 24.60 MH/s
20190503 09:40:18 Total: 24.60 MH/s
20190503 09:40:18 Total: 24.60 MH/s
20190503 09:40:18 Total: 24.59 MH/s
20190503 09:40:19 Total: 24.59 MH/s
20190503 09:40:19 Total: 24.59 MH/s
20190503 09:40:19 Total: 24.59 MH/s
20190503 09:40:19 Total: 24.59 MH/s
20190503 09:40:19 Total: 24.58 MH/s
20190503 09:40:19 Total: 24.58 MH/s
20190503 09:40:20 Total: 24.58 MH/s
20190503 09:40:22 Total: 24.57 MH/s
20190503 09:40:22 Total: 24.57 MH/s
20190503 09:40:23 Total: 24.57 MH/s
20190503 09:40:24 Total: 24.56 MH/s
20190503 09:40:25 Total: 24.56 MH/s
20190503 09:40:26 Total: 24.55 MH/s
20190503 09:40:27 Total: 24.55 MH/s
20190503 09:40:27 Total: 24.55 MH/s
20190503 09:40:28 Total: 24.55 MH/s
20190503 09:40:28 Total: 24.54 MH/s
20190503 09:40:28 Total: 24.54 MH/s
20190503 09:40:29 Total: 24.54 MH/s
20190503 09:40:29 Total: 24.54 MH/s
20190503 09:40:30 Total: 24.54 MH/s
20190503 09:40:30 Total: 24.54 MH/s
20190503 09:40:30 Total: 24.54 MH/s
20190503 09:40:31 Total: 24.53 MH/s
20190503 09:40:32 Total: 24.53 MH/s
20190503 09:40:32 Total: 24.53 MH/s
20190503 09:40:33 Total: 24.53 MH/s
20190503 09:40:34 Total: 24.53 MH/s
20190503 09:40:35 Total: 24.52 MH/s
20190503 09:40:36 Total: 24.52 MH/s
20190503 09:40:36 Total: 24.52 MH/s
20190503 09:40:36 Total: 24.52 MH/s
20190503 09:40:37 Total: 24.52 MH/s
20190503 09:40:39 Total: 24.51 MH/s
20190503 09:40:41 Total: 24.50 MH/s
20190503 09:40:41 Total: 24.50 MH/s
20190503 09:40:41 Total: 24.50 MH/s
20190503 09:40:42 Total: 24.49 MH/s
20190503 09:40:43 Total: 24.49 MH/s
20190503 09:40:43 Total: 24.49 MH/s
