20190503 09:41:59 T-Rex NVIDIA GPU miner v0.9.2  -  [CUDA v10.0]
20190503 09:41:59 
20190503 09:41:59 NVIDIA Driver v430.39
20190503 09:41:59 CUDA devices available: 2
20190503 09:41:59 
20190503 09:41:59 WARN: GPU #1: EVGA GeForce GTX 970, intensity set to 20
20190503 09:41:59 Hash order 0000000000000000
20190503 09:41:59 BlkBlkBlkBlkBlkBlkBlkBlkBlkBlkBlkBlkBlkBlkBlkBlk
20190503 09:42:00 Total: 0.00 H/s
20190503 09:42:01 Total: 31.44 MH/s
20190503 09:42:02 Total: 31.72 MH/s
20190503 09:42:04 Total: 31.91 MH/s
20190503 09:42:05 Total: 31.92 MH/s
20190503 09:42:06 Total: 31.93 MH/s
20190503 09:42:06 Total: 31.92 MH/s
20190503 09:42:06 Total: 31.92 MH/s
20190503 09:42:06 Total: 31.92 MH/s
20190503 09:42:06 Total: 31.92 MH/s
20190503 09:42:07 Total: 31.92 MH/s
20190503 09:42:08 Total: 31.92 MH/s
20190503 09:42:08 Total: 31.92 MH/s
20190503 09:42:10 Total: 31.89 MH/s
20190503 09:42:10 Total: 31.89 MH/s
20190503 09:42:10 Total: 31.89 MH/s
20190503 09:42:11 Total: 31.89 MH/s
20190503 09:42:11 Total: 31.89 MH/s
20190503 09:42:11 Total: 31.89 MH/s
20190503 09:42:12 Total: 31.90 MH/s
20190503 09:42:12 Total: 31.90 MH/s
20190503 09:42:13 Total: 31.90 MH/s
20190503 09:42:13 Total: 31.90 MH/s
20190503 09:42:14 Total: 31.89 MH/s
20190503 09:42:15 Total: 31.88 MH/s
20190503 09:42:15 Total: 31.88 MH/s
20190503 09:42:15 Total: 31.88 MH/s
20190503 09:42:16 Total: 31.88 MH/s
20190503 09:42:16 Total: 31.88 MH/s
20190503 09:42:16 Total: 31.88 MH/s
20190503 09:42:17 Total: 31.87 MH/s
20190503 09:42:18 Total: 31.86 MH/s
20190503 09:42:19 Total: 31.85 MH/s
20190503 09:42:20 Total: 31.85 MH/s
20190503 09:42:20 Total: 31.84 MH/s
20190503 09:42:20 Total: 31.84 MH/s
20190503 09:42:23 Total: 31.83 MH/s
20190503 09:42:23 Total: 31.83 MH/s
20190503 09:42:23 Total: 31.82 MH/s
20190503 09:42:24 Total: 31.82 MH/s
20190503 09:42:25 Total: 31.80 MH/s
20190503 09:42:26 Total: 31.80 MH/s
20190503 09:42:26 Total: 31.79 MH/s
20190503 09:42:26 Total: 31.79 MH/s
20190503 09:42:26 Total: 31.79 MH/s
20190503 09:42:27 Total: 31.79 MH/s
20190503 09:42:27 Total: 31.79 MH/s
20190503 09:42:29 Total: 31.78 MH/s
20190503 09:42:29 Total: 31.78 MH/s
20190503 09:42:30 Total: 31.77 MH/s
20190503 09:42:30 Total: 31.77 MH/s
20190503 09:42:31 Total: 31.77 MH/s
20190503 09:42:31 Total: 31.77 MH/s
20190503 09:42:31 Total: 31.77 MH/s
20190503 09:42:32 Total: 31.77 MH/s
20190503 09:42:32 Total: 31.77 MH/s
20190503 09:42:32 Total: 31.77 MH/s
20190503 09:42:32 Total: 31.77 MH/s
20190503 09:42:32 Total: 31.77 MH/s
20190503 09:42:32 Total: 31.77 MH/s
20190503 09:42:32 Total: 31.77 MH/s
20190503 09:42:33 Total: 31.76 MH/s
20190503 09:42:33 Total: 31.76 MH/s
20190503 09:42:34 Total: 31.76 MH/s
20190503 09:42:34 Total: 31.76 MH/s
20190503 09:42:35 Total: 31.76 MH/s
20190503 09:42:35 Total: 31.76 MH/s
20190503 09:42:36 Total: 31.76 MH/s
20190503 09:42:36 Total: 31.76 MH/s
20190503 09:42:36 Total: 31.76 MH/s
20190503 09:42:37 Total: 31.76 MH/s
20190503 09:42:37 Total: 31.76 MH/s
20190503 09:42:38 Total: 31.76 MH/s
20190503 09:42:38 Total: 31.76 MH/s
20190503 09:42:39 Total: 31.76 MH/s
20190503 09:42:39 Total: 31.76 MH/s
20190503 09:42:40 Total: 31.76 MH/s
20190503 09:42:40 Total: 31.76 MH/s
20190503 09:42:40 Total: 31.76 MH/s
20190503 09:42:41 Total: 31.76 MH/s
20190503 09:42:41 Total: 31.76 MH/s
20190503 09:42:41 Total: 31.76 MH/s
20190503 09:42:42 Total: 31.75 MH/s
20190503 09:42:43 Total: 31.75 MH/s
20190503 09:42:44 Total: 31.75 MH/s
20190503 09:42:44 Total: 31.75 MH/s
20190503 09:42:44 Total: 31.75 MH/s
20190503 09:42:44 Total: 31.75 MH/s
20190503 09:42:45 Total: 31.75 MH/s
20190503 09:42:45 Total: 31.75 MH/s
20190503 09:42:47 Total: 31.74 MH/s
20190503 09:42:47 Total: 31.74 MH/s
