20190503 09:41:00 T-Rex NVIDIA GPU miner v0.9.2  -  [CUDA v10.0]
20190503 09:41:00 
20190503 09:41:00 NVIDIA Driver v430.39
20190503 09:41:00 CUDA devices available: 2
20190503 09:41:00 
20190503 09:41:01 WARN: GPU #0: Zotac GeForce GTX 1060 3GB, intensity set to 20
20190503 09:41:01 Total: 0.00 H/s
20190503 09:41:02 Total: 0.00 H/s
20190503 09:41:03 Total: 24.13 MH/s
20190503 09:41:03 Total: 24.13 MH/s
20190503 09:41:04 Total: 24.42 MH/s
20190503 09:41:04 Total: 24.50 MH/s
20190503 09:41:04 Total: 24.50 MH/s
20190503 09:41:04 Total: 24.50 MH/s
20190503 09:41:06 Total: 24.59 MH/s
20190503 09:41:07 Total: 24.60 MH/s
20190503 09:41:07 Total: 24.60 MH/s
20190503 09:41:08 Total: 24.60 MH/s
20190503 09:41:08 Total: 24.60 MH/s
20190503 09:41:08 Total: 24.60 MH/s
20190503 09:41:08 Total: 24.60 MH/s
20190503 09:41:09 Total: 24.60 MH/s
20190503 09:41:10 Total: 24.60 MH/s
20190503 09:41:11 Total: 24.60 MH/s
20190503 09:41:12 Total: 24.60 MH/s
20190503 09:41:14 Total: 24.61 MH/s
20190503 09:41:14 Total: 24.61 MH/s
20190503 09:41:15 Total: 24.61 MH/s
20190503 09:41:15 Total: 24.60 MH/s
20190503 09:41:15 Total: 24.60 MH/s
20190503 09:41:16 Total: 24.59 MH/s
20190503 09:41:17 Total: 24.59 MH/s
20190503 09:41:18 Total: 24.58 MH/s
20190503 09:41:19 Total: 24.57 MH/s
20190503 09:41:20 Total: 24.57 MH/s
20190503 09:41:20 Total: 24.56 MH/s
20190503 09:41:21 Total: 24.56 MH/s
20190503 09:41:21 Total: 24.56 MH/s
20190503 09:41:23 Total: 24.55 MH/s
20190503 09:41:23 Total: 24.55 MH/s
20190503 09:41:25 Total: 24.55 MH/s
20190503 09:41:27 Total: 24.53 MH/s
20190503 09:41:27 Total: 24.53 MH/s
20190503 09:41:27 Total: 24.53 MH/s
20190503 09:41:28 Total: 24.53 MH/s
20190503 09:41:28 Total: 24.53 MH/s
20190503 09:41:31 Total: 24.51 MH/s
20190503 09:41:31 Total: 24.51 MH/s
20190503 09:41:31 Total: 24.51 MH/s
20190503 09:41:32 Total: 24.50 MH/s
20190503 09:41:32 Total: 24.50 MH/s
20190503 09:41:33 Total: 24.50 MH/s
20190503 09:41:33 Total: 24.50 MH/s
20190503 09:41:35 Total: 24.48 MH/s
20190503 09:41:35 Total: 24.48 MH/s
20190503 09:41:35 Total: 24.48 MH/s
20190503 09:41:36 Total: 24.48 MH/s
20190503 09:41:36 Total: 24.48 MH/s
20190503 09:41:36 Total: 24.48 MH/s
20190503 09:41:36 Total: 24.48 MH/s
20190503 09:41:36 Total: 24.48 MH/s
20190503 09:41:36 Total: 24.48 MH/s
20190503 09:41:37 Total: 24.48 MH/s
20190503 09:41:38 Total: 24.47 MH/s
20190503 09:41:39 Total: 24.46 MH/s
20190503 09:41:39 Total: 24.46 MH/s
20190503 09:41:40 Total: 24.46 MH/s
20190503 09:41:41 Total: 24.46 MH/s
20190503 09:41:42 Total: 24.45 MH/s
20190503 09:41:44 Total: 24.45 MH/s
20190503 09:41:45 Total: 24.44 MH/s
20190503 09:41:45 Total: 24.44 MH/s
20190503 09:41:45 Total: 24.44 MH/s
20190503 09:41:45 Total: 24.44 MH/s
20190503 09:41:45 Total: 24.44 MH/s
20190503 09:41:46 Total: 24.44 MH/s
20190503 09:41:46 Total: 24.44 MH/s
20190503 09:41:47 Total: 24.43 MH/s
20190503 09:41:47 Total: 24.43 MH/s
20190503 09:41:47 Total: 24.43 MH/s
20190503 09:41:48 Total: 24.43 MH/s
20190503 09:41:49 Total: 24.43 MH/s
20190503 09:41:49 Total: 24.43 MH/s
20190503 09:41:50 Total: 24.42 MH/s
20190503 09:41:51 Total: 24.42 MH/s
20190503 09:41:53 Total: 24.41 MH/s
20190503 09:41:53 Total: 24.41 MH/s
20190503 09:41:54 Total: 24.41 MH/s
20190503 09:41:54 Total: 24.41 MH/s
20190503 09:41:54 Total: 24.40 MH/s
20190503 09:41:57 Total: 24.39 MH/s
20190503 09:41:58 Total: 24.39 MH/s
20190503 09:41:58 Total: 24.39 MH/s
20190503 09:41:59 Total: 24.39 MH/s
20190503 09:42:00 Total: 24.38 MH/s
20190503 09:42:00 Total: 24.38 MH/s
