20190503 09:44:17 T-Rex NVIDIA GPU miner v0.9.2  -  [CUDA v10.0]
20190503 09:44:17 
20190503 09:44:17 NVIDIA Driver v430.39
20190503 09:44:17 CUDA devices available: 2
20190503 09:44:17 
20190503 09:44:17 WARN: GPU #0: Zotac GeForce GTX 1060 3GB, intensity set to 20
20190503 09:44:17 Hash order 0000000000000000
20190503 09:44:17 BlkBlkBlkBlkBlkBlkBlkBlkBlkBlkBlkBlkBlkBlkBlkBlk
20190503 09:44:18 Total: 0.00 H/s
20190503 09:44:19 Total: 30.06 MH/s
20190503 09:44:20 Total: 30.86 MH/s
20190503 09:44:22 Total: 31.26 MH/s
20190503 09:44:23 Total: 31.30 MH/s
20190503 09:44:24 Total: 31.31 MH/s
20190503 09:44:24 Total: 31.33 MH/s
20190503 09:44:24 Total: 31.33 MH/s
20190503 09:44:24 Total: 31.34 MH/s
20190503 09:44:25 Total: 31.34 MH/s
20190503 09:44:25 Total: 31.36 MH/s
20190503 09:44:26 Total: 31.36 MH/s
20190503 09:44:26 Total: 31.37 MH/s
20190503 09:44:28 Total: 31.39 MH/s
20190503 09:44:28 Total: 31.39 MH/s
20190503 09:44:28 Total: 31.39 MH/s
20190503 09:44:29 Total: 31.39 MH/s
20190503 09:44:29 Total: 31.39 MH/s
20190503 09:44:29 Total: 31.39 MH/s
20190503 09:44:30 Total: 31.40 MH/s
20190503 09:44:31 Total: 31.40 MH/s
20190503 09:44:31 Total: 31.40 MH/s
20190503 09:44:31 Total: 31.41 MH/s
20190503 09:44:32 Total: 31.41 MH/s
20190503 09:44:33 Total: 31.41 MH/s
20190503 09:44:33 Total: 31.42 MH/s
20190503 09:44:34 Total: 31.42 MH/s
20190503 09:44:34 Total: 31.42 MH/s
20190503 09:44:34 Total: 31.42 MH/s
20190503 09:44:35 Total: 31.42 MH/s
20190503 09:44:35 Total: 31.42 MH/s
20190503 09:44:36 Total: 31.43 MH/s
20190503 09:44:37 Total: 31.43 MH/s
20190503 09:44:38 Total: 31.42 MH/s
20190503 09:44:38 Total: 31.42 MH/s
20190503 09:44:38 Total: 31.42 MH/s
20190503 09:44:41 Total: 31.40 MH/s
20190503 09:44:42 Total: 31.40 MH/s
20190503 09:44:42 Total: 31.39 MH/s
20190503 09:44:43 Total: 31.39 MH/s
20190503 09:44:43 Total: 31.39 MH/s
20190503 09:44:44 Total: 31.38 MH/s
20190503 09:44:44 Total: 31.38 MH/s
20190503 09:44:45 Total: 31.38 MH/s
20190503 09:44:45 Total: 31.38 MH/s
20190503 09:44:45 Total: 31.38 MH/s
20190503 09:44:46 Total: 31.37 MH/s
20190503 09:44:47 Total: 31.37 MH/s
20190503 09:44:47 Total: 31.37 MH/s
20190503 09:44:49 Total: 31.36 MH/s
20190503 09:44:49 Total: 31.36 MH/s
20190503 09:44:49 Total: 31.36 MH/s
20190503 09:44:49 Total: 31.36 MH/s
20190503 09:44:50 Total: 31.36 MH/s
20190503 09:44:50 Total: 31.36 MH/s
20190503 09:44:50 Total: 31.36 MH/s
20190503 09:44:50 Total: 31.36 MH/s
20190503 09:44:50 Total: 31.36 MH/s
20190503 09:44:50 Total: 31.35 MH/s
20190503 09:44:51 Total: 31.35 MH/s
20190503 09:44:51 Total: 31.35 MH/s
20190503 09:44:51 Total: 31.35 MH/s
20190503 09:44:51 Total: 31.35 MH/s
20190503 09:44:52 Total: 31.35 MH/s
20190503 09:44:53 Total: 31.35 MH/s
20190503 09:44:53 Total: 31.35 MH/s
20190503 09:44:54 Total: 31.35 MH/s
20190503 09:44:54 Total: 31.34 MH/s
20190503 09:44:54 Total: 31.34 MH/s
20190503 09:44:54 Total: 31.34 MH/s
20190503 09:44:55 Total: 31.34 MH/s
20190503 09:44:56 Total: 31.34 MH/s
20190503 09:44:56 Total: 31.34 MH/s
20190503 09:44:57 Total: 31.34 MH/s
20190503 09:44:57 Total: 31.34 MH/s
20190503 09:44:58 Total: 31.34 MH/s
20190503 09:44:58 Total: 31.33 MH/s
20190503 09:44:59 Total: 31.33 MH/s
20190503 09:44:59 Total: 31.33 MH/s
20190503 09:44:59 Total: 31.33 MH/s
20190503 09:45:00 Total: 31.33 MH/s
20190503 09:45:00 Total: 31.33 MH/s
20190503 09:45:01 Total: 31.33 MH/s
20190503 09:45:02 Total: 31.33 MH/s
20190503 09:45:02 Total: 31.32 MH/s
20190503 09:45:02 Total: 31.32 MH/s
20190503 09:45:02 Total: 31.32 MH/s
20190503 09:45:03 Total: 31.32 MH/s
20190503 09:45:03 Total: 31.32 MH/s
20190503 09:45:04 Total: 31.32 MH/s
20190503 09:45:06 Total: 31.32 MH/s
20190503 09:45:06 Total: 31.32 MH/s
20190503 09:45:07 Total: 31.32 MH/s
20190503 09:45:07 Total: 31.32 MH/s
20190503 09:45:07 Total: 31.32 MH/s
20190503 09:45:09 Total: 31.31 MH/s
20190503 09:45:09 Total: 31.31 MH/s
20190503 09:45:11 Total: 31.31 MH/s
20190503 09:45:12 Total: 31.31 MH/s
20190503 09:45:14 Total: 31.30 MH/s
20190503 09:45:14 Total: 31.30 MH/s
20190503 09:45:14 Total: 31.30 MH/s
20190503 09:45:14 Total: 31.29 MH/s
20190503 09:45:14 Total: 31.29 MH/s
20190503 09:45:14 Total: 31.29 MH/s
20190503 09:45:14 Total: 31.29 MH/s
20190503 09:45:15 Total: 31.29 MH/s
20190503 09:45:15 Total: 31.29 MH/s
20190503 09:45:16 Total: 31.28 MH/s
20190503 09:45:16 Total: 31.28 MH/s
20190503 09:45:18 Total: 31.27 MH/s
